,Topic,Count,Name_1,Topic,Count,Name_2,Model1_list,Model2_list,Intersection,Union
0,-1,2365,-1_gun_dont_protect_like,-1.0,1747.0,-1_gun_peopl_right_get,"['-1', 'gun', 'dont', 'protect', 'like']","['-1', 'gun', 'peopl', 'right', 'get']",2,8
1,0,303,0_http_tco_freenrent_nhttp,0.0,380.0,0_school_children_teacher_kid,"['0', 'http', 'tco', 'freenrent', 'nhttp']","['0', 'school', 'children', 'teacher', 'kid']",1,9
2,1,115,1_kavanaugh_brett_kill_near,1.0,366.0,1_http_tco_freenrent_statehoodpr,"['1', 'kavanaugh', 'brett', 'kill', 'near']","['1', 'http', 'tco', 'freenrent', 'statehoodpr']",1,9
3,2,106,2_democrat_strategist_republican_care,2.0,187.0,2_idiot_stupid_your_moron,"['2', 'democrat', 'strategist', 'republican', 'care']","['2', 'idiot', 'stupid', 'your', 'moron']",1,9
4,3,101,3_republican_democrat_gun_control,3.0,104.0,3_suprem_court_justic_assassin,"['3', 'republican', 'democrat', 'gun', 'control']","['3', 'suprem', 'court', 'justic', 'assassin']",1,9
5,4,93,4_liber_leftist_left_riot,4.0,101.0,4_weapon_gun_assault_buy,"['4', 'liber', 'leftist', 'left', 'riot']","['4', 'weapon', 'gun', 'assault', 'buy']",1,9
6,5,71,5_zone_free_school_gun,5.0,88.0,5_door_hous_lock_kavanaugh,"['5', 'zone', 'free', 'school', 'gun']","['5', 'door', 'hous', 'lock', 'kavanaugh']",1,9
7,6,71,6_door_hous_lock_one,6.0,85.0,6_democrat_gun_republican_control,"['6', 'door', 'hous', 'lock', 'one']","['6', 'democrat', 'gun', 'republican', 'control']",1,9
8,7,64,7_school_kid_classroom_teacher,7.0,72.0,7_guy_good_gun_bad,"['7', 'school', 'kid', 'classroom', 'teacher']","['7', 'guy', 'good', 'gun', 'bad']",1,9
9,8,54,8_tweet_twitter_sens_dumbest,8.0,68.0,8_murder_assassin_attempt_kill,"['8', 'tweet', 'twitter', 'sens', 'dumbest']","['8', 'murder', 'assassin', 'attempt', 'kill']",1,9
10,9,51,9_arrest_murder_threat_attempt,9.0,67.0,9_republican_trump_southern_parti,"['9', 'arrest', 'murder', 'threat', 'attempt']","['9', 'republican', 'trump', 'southern', 'parti']",1,9
11,10,44,10_control_gun_law_chicago,10.0,66.0,10_democrat_care_day_strategist,"['10', 'control', 'gun', 'law', 'chicago']","['10', 'democrat', 'care', 'day', 'strategist']",1,9
12,11,41,11_school_republican_secur_democrat,11.0,64.0,11____,"['11', 'school', 'republican', 'secur', 'democrat']","['11', '', '', '', '']",1,6
13,12,40,12_door_kavanaugh_hous_ted,12.0,62.0,12_eactli_agre_elabor_evid,"['12', 'door', 'kavanaugh', 'hous', 'ted']","['12', 'eactli', 'agre', 'elabor', 'evid']",1,9
14,13,39,13_stupid_take_dumb_comparison,13.0,62.0,13_mental_health_ill_issu,"['13', 'stupid', 'take', 'dumb', 'comparison']","['13', 'mental', 'health', 'ill', 'issu']",1,9
15,14,39,14_violenc_incit_polit_discours,14.0,61.0,14_paid_pay_debt_money,"['14', 'violenc', 'incit', 'polit', 'discours']","['14', 'paid', 'pay', 'debt', 'money']",1,9
16,15,39,15_amend_nd_second_abolish,15.0,60.0,15_republican_school_democrat_children,"['15', 'amend', 'nd', 'second', 'abolish']","['15', 'republican', 'school', 'democrat', 'children']",1,9
17,16,37,16_statehoodpr_politician_american_authoritarian,16.0,60.0,16_prayer_thought_send_kavanaugh,"['16', 'statehoodpr', 'politician', 'american', 'authoritarian']","['16', 'prayer', 'thought', 'send', 'kavanaugh']",1,9
18,18,36,18_moron_idiot_dumbass_statement,17.0,54.0,17_arrest_cop_polic_job,"['18', 'moron', 'idiot', 'dumbass', 'statement']","['17', 'arrest', 'cop', 'polic', 'job']",0,10
19,19,36,19_prayer_thought_send_god,18.0,53.0,18_mani_door_one_tulsi,"['19', 'prayer', 'thought', 'send', 'god']","['18', 'mani', 'door', 'one', 'tulsi']",0,10
20,17,36,17_brett_doesnt_hous_soooo,19.0,51.0,19_tweet_twitter_dumbest_congratul,"['17', 'brett', 'doesnt', 'hous', 'soooo']","['19', 'tweet', 'twitter', 'dumbest', 'congratul']",0,10
21,20,34,20____,20.0,41.0,20_white_racist_fascist_fascism,"['20', '', '', '', '']","['20', 'white', 'racist', 'fascist', 'fascism']",1,6
22,21,33,21_mental_health_ill_issu,21.0,34.0,21_old_year_eleven_kid,"['21', 'mental', 'health', 'ill', 'issu']","['21', 'old', 'year', 'eleven', 'kid']",1,9
23,22,30,22_scotu_gop_appoint_sotomayor,22.0,34.0,22_adam_evil_vile_paint,"['22', 'scotu', 'gop', 'appoint', 'sotomayor']","['22', 'adam', 'evil', 'vile', 'paint']",1,9
24,23,30,23_eactli_hourli_eactlyth_senseless,23.0,34.0,23_threat_made_threaten_illeg,"['23', 'eactli', 'hourli', 'eactlyth', 'senseless']","['23', 'threat', 'made', 'threaten', 'illeg']",1,9
25,24,29,24_assassin_justic_kill_attempt,24.0,33.0,24_lol_yep_wow_ok,"['24', 'assassin', 'justic', 'kill', 'attempt']","['24', 'lol', 'yep', 'wow', 'ok']",1,9
26,25,29,25_law_break_enforc_crimin,25.0,33.0,25_dog_pet_prairi_hog,"['25', 'law', 'break', 'enforc', 'crimin']","['25', 'dog', 'pet', 'prairi', 'hog']",1,9
27,26,29,26_gun_never_peopl_arent,28.0,29.0,28_absolut_correct_question_case,"['26', 'gun', 'never', 'peopl', 'arent']","['28', 'absolut', 'correct', 'question', 'case']",0,10
28,27,28,27_schumer_chuck_impeach_incit,27.0,29.0,27_told_unload_na_arrest,"['27', 'schumer', 'chuck', 'impeach', 'incit']","['27', 'told', 'unload', 'na', 'arrest']",1,9
29,28,27,28____,26.0,29.0,26_logic_argument_complic_philosophi,"['28', '', '', '', '']","['26', 'logic', 'argument', 'complic', 'philosophi']",0,7
30,29,26,29_disgust_worst_person_vile,29.0,28.0,29_shame_sad_apolog_ridicul,"['29', 'disgust', 'worst', 'person', 'vile']","['29', 'shame', 'sad', 'apolog', 'ridicul']",1,9
31,30,25,30_bill_pass_vote_reform,30.0,28.0,30_clown_joke_sarcasm_your,"['30', 'bill', 'pass', 'vote', 'reform']","['30', 'clown', 'joke', 'sarcasm', 'your']",1,9
32,31,25,31_dog_prairi_pet_hog,31.0,28.0,31_tea_polic_shooter_old,"['31', 'dog', 'prairi', 'pet', 'hog']","['31', 'tea', 'polic', 'shooter', 'old']",1,9
33,32,25,32_secur_addit_art_afford,32.0,27.0,32_beer_brett_give_qkpmcyno,"['32', 'secur', 'addit', 'art', 'afford']","['32', 'beer', 'brett', 'give', 'qkpmcyno']",1,9
34,33,25,33_biden_hunter_vp_voter,33.0,27.0,33_mitch_mcconnel_outrag_moscow,"['33', 'biden', 'hunter', 'vp', 'voter']","['33', 'mitch', 'mcconnel', 'outrag', 'moscow']",1,9
35,34,24,34_liter_tri_deflect_wasnt,34.0,25.0,34_time_matter_life_live,"['34', 'liter', 'tri', 'deflect', 'wasnt']","['34', 'time', 'matter', 'life', 'live']",1,9
36,35,24,35_guy_good_bad_gun,35.0,25.0,35_age_rais_militari_old,"['35', 'guy', 'good', 'bad', 'gun']","['35', 'age', 'rais', 'militari', 'old']",1,9
37,36,24,36_beer_keg_give_love,36.0,24.0,36_law_crimin_break_point,"['36', 'beer', 'keg', 'give', 'love']","['36', 'law', 'crimin', 'break', 'point']",1,9
38,37,23,37_arm_guard_prevent_aliv,37.0,23.0,37_dude_guy_open_call,"['37', 'arm', 'guard', 'prevent', 'aliv']","['37', 'dude', 'guy', 'open', 'call']",1,9
39,38,23,38_sale_background_check_buy,39.0,22.0,39_leftist_wacko_gaslight_sick,"['38', 'sale', 'background', 'check', 'buy']","['39', 'leftist', 'wacko', 'gaslight', 'sick']",0,10
40,40,22,40_divis_wow_brain_cultist,38.0,22.0,38_ukrainian_ukrain_russia_putin,"['40', 'divis', 'wow', 'brain', 'cultist']","['38', 'ukrainian', 'ukrain', 'russia', 'putin']",0,10
41,41,22,41_mitch_mcconnel_moscow_detest,40.0,20.0,40_protest_peac_continu_libtard,"['41', 'mitch', 'mcconnel', 'moscow', 'detest']","['40', 'protest', 'peac', 'continu', 'libtard']",0,10
42,39,22,39_troll_russian_bot_clown,41.0,20.0,41_background_check_sale_retail,"['39', 'troll', 'russian', 'bot', 'clown']","['41', 'background', 'check', 'sale', 'retail']",0,10
43,43,21,43_old_year_eleven_adult,42.0,20.0,42_arm_guard_weve_finger,"['43', 'old', 'year', 'eleven', 'adult']","['42', 'arm', 'guard', 'weve', 'finger']",0,10
